,trend,h,p,z,Tau,s,var_s,slope,intercept
1,,,,,,,,,
2,increasing,True,0.029198024286065438,2.1808025446627854,0.18888888888888888,187.0,7274.333333333333,0.0,0.0
3,increasing,True,0.007176154927915457,2.6885571564693844,0.2767676767676768,274.0,10310.666666666666,0.1111111111111111,1.5555555555555558
4,increasing,True,0.005533030392876004,2.7742431651430066,0.2868686868686869,284.0,10406.0,0.23529411764705882,8.823529411764707
5,no trend,False,0.1576260501327016,1.4131009290022911,0.14646464646464646,145.0,10384.333333333334,0.09307359307359307,20.952380952380953
6,increasing,True,0.0005325043405004504,3.4638495026205804,0.32525252525252524,322.0,8588.0,0.02353266888150609,29.482281284606866
7,increasing,True,0.0007079632646447287,3.3864765510886636,0.29797979797979796,295.0,7537.0,0.0,31.0
8,increasing,True,0.0008085432058266839,3.349853469482744,0.3181818181818182,315.0,8786.333333333334,0.02564102564102564,30.435897435897434
9,increasing,True,0.000343695805543609,3.5799227441884445,0.3696969696969697,366.0,10395.333333333334,0.2857142857142857,12.714285714285715
10,increasing,True,9.998463088356502e-06,4.417206648180957,0.4535353535353535,449.0,10286.333333333334,0.1863425925925926,-0.0995370370370372
11,no trend,False,0.05485091271654641,1.9200553154097633,0.15454545454545454,153.0,6267.0,0.0,0.0
12,,,,,,,,,
