,trend,h,p,z,Tau,s,var_s,slope,intercept
1,,,,,,,,,
2,no trend,False,0.23495478370334322,1.1876919823329444,0.23809523809523808,25.0,408.3333333333333,1467.5547777293443,68341.6135409793
3,no trend,False,0.8067106222830902,0.24467172577489446,0.028205128205128206,22.0,7366.666666666667,161.63911955443615,80729.01512943796
4,no trend,False,0.5780164317724827,0.556284426431994,0.05919661733615222,56.0,9775.333333333334,342.8554335077837,144559.18480922235
5,increasing,True,0.026378975197504317,2.220586585722114,0.23030303030303031,228.0,10450.0,3821.127301881207,222930.96466107666
6,increasing,True,0.005633287643966867,2.7683964923319744,0.2868686868686869,284.0,10450.0,8980.928762477644,493991.7833393413
7,increasing,True,1.1217762097226469e-05,4.392261572639776,0.45454545454545453,450.0,10450.0,11725.276617597665,549388.1563881941
8,increasing,True,2.0909934461688096e-06,4.744425084031829,0.4909090909090909,486.0,10450.0,13513.445918371326,317164.4386121643
9,increasing,True,0.0006400962197103954,3.414029596550739,0.35353535353535354,350.0,10450.0,6158.152126772226,196695.00440197974
10,increasing,True,0.008302708612703658,2.6395054586877422,0.28780487804878047,236.0,7926.666666666667,1941.4055852192437,67568.49463943315
11,no trend,False,0.08647112777407262,1.714313703309354,0.3939393939393939,26.0,212.66666666666666,1953.909771257969,4164.065135727185
12,,,,,,,,,
