,trend,h,p,z,Tau,s,var_s,slope,intercept
1,,,,,,,,,
2,increasing,True,0.024583326263424743,2.247888098577539,0.1808080808080808,179.0,6270.333333333333,0.0,0.0
3,increasing,True,0.04854268179391963,1.9725865924048984,0.20202020202020202,200.0,10177.333333333334,0.07692307692307693,2.3076923076923075
4,increasing,True,0.022404699478559387,2.2834359872347405,0.23636363636363636,234.0,10412.0,0.20294117647058824,10.535294117647059
5,no trend,False,0.2274419225532096,1.2069746089969076,0.12424242424242424,123.0,10217.0,0.03708791208791209,27.184065934065934
6,no trend,False,0.5330854016356619,0.623303038223398,0.04141414141414142,41.0,4118.333333333333,0.0,30.0
7,increasing,True,0.01919533537587803,2.3417156056930235,0.10505050505050505,104.0,1934.6666666666667,0.0,31.0
8,no trend,False,0.9712509038210506,-0.036039448747210524,-0.0030303030303030303,-3.0,3079.6666666666665,0.0,31.0
9,increasing,True,1.1391286989237415e-06,4.8659420925560575,0.502020202020202,497.0,10390.333333333334,0.4117647058823529,12.941176470588236
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
