,trend,h,p,z,Tau,s,var_s,slope,intercept
1,,,,,,,,,
2,no trend,False,0.37269149047151817,0.8914431257208641,0.21212121212121213,14.0,212.66666666666666,3152.2281607823343,121210.54391307109
3,no trend,False,0.5052450905766701,0.6662597456364671,0.08333333333333333,44.0,4165.333333333333,1226.934559077668,239859.91151791517
4,no trend,False,0.46030716787530546,0.7383411478097376,0.07822410147991543,74.0,9775.333333333334,2624.662691699308,424301.0315852127
5,increasing,True,0.02773447023504816,2.201021946200333,0.22828282828282828,226.0,10450.0,12295.11821132524,793131.1573874897
6,increasing,True,0.0016887596614068023,3.1401246432458088,0.32525252525252524,322.0,10450.0,16998.026359161304,1320102.9688590905
7,increasing,True,0.00017922723448315914,3.7466284684210116,0.3878787878787879,384.0,10450.0,20574.41120196473,1445232.4934888813
8,increasing,True,0.0004133388817446626,3.5314174336814235,0.3656565656565657,362.0,10450.0,17369.11678059776,1080901.9181106626
9,no trend,False,0.18018754488317246,1.3401778072419805,0.1393939393939394,138.0,10450.0,4126.040305532286,439080.71406196954
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
