,trend,h,p,z,Tau,s,var_s,slope,intercept
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,no trend,False,0.3114392828083088,1.012206596589727,0.10505050505050505,104.0,10354.666666666666,0.059714795008912656,7.686274509803922
6,increasing,True,0.04890876461412175,1.9693861531235617,0.19393939393939394,192.0,9406.0,0.0,29.0
7,no trend,False,0.13323107282522217,1.5014814818425855,0.04040404040404041,40.0,674.6666666666666,0.0,31.0
8,no trend,False,0.7020760129387011,-0.3825195738972461,-0.024242424242424242,-24.0,3615.3333333333335,0.0,31.0
9,increasing,True,0.04428157072341077,2.0114156589217265,0.2080808080808081,206.0,10387.333333333334,0.19292803970223327,7.755583126550868
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
