,trend,h,p,z,Tau,s,var_s,slope,intercept
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,no trend,False,0.6132517855744677,-0.5054372154933974,-0.05609756097560976,-46.0,7926.666666666667,-1477.009314996796,380423.61258926365
6,increasing,True,0.004992368505160494,2.807525771375536,0.2909090909090909,288.0,10450.0,12630.281388673464,824213.9900000514
7,increasing,True,2.4847565708530084e-05,4.216179816943749,0.43636363636363634,432.0,10450.0,21098.317663715876,1369571.794768433
8,increasing,True,0.0009124841030578867,3.3162063989418353,0.3434343434343434,340.0,10450.0,15873.798802272106,1066436.6288025412
9,no trend,False,0.3859468605971168,0.8669911466431888,0.09407665505226481,81.0,8514.333333333334,3719.235867265805,253746.70763353142
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
