,trend,h,p,z,Tau,s,var_s,slope,intercept
1,no trend,False,0.4197915725997645,-0.806782900162478,-0.08383838383838384,-83.0,10330.333333333334,-0.03774928774928775,27.83048433048433
2,no trend,False,0.7983780325466214,0.2554467944023251,0.02727272727272727,27.0,10359.666666666666,0.0,21.0
3,no trend,False,0.8984863776865233,0.1275736591965647,0.014141414141414142,14.0,10384.0,0.0,17.0
4,no trend,False,0.35407124497170983,0.9267213202717921,0.08888888888888889,88.0,8813.333333333334,0.0,0.0
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,increasing,True,0.006582341828665461,2.717267327159088,0.2797979797979798,277.0,10317.0,0.15075757575757576,0.6833333333333336
9,increasing,True,0.005634950723341747,2.7683003010526743,0.28585858585858587,283.0,10377.0,0.14285714285714285,20.857142857142858
10,increasing,True,5.7851366615846445e-05,4.021407739106158,0.4070707070707071,403.0,9993.0,0.15587044534412955,24.57085020242915
11,increasing,True,0.002788571034598508,2.9901317912849255,0.30808080808080807,305.0,10336.333333333334,0.14285714285714285,21.857142857142858
12,no trend,False,0.16064372624053114,1.4029098399424647,0.14343434343434344,142.0,10101.333333333334,0.02857142857142857,28.37142857142857
