,trend,h,p,z,Tau,s,var_s,slope,intercept
1,no trend,False,0.8067986923806505,0.24455799402225922,0.026262626262626262,26.0,10450.0,785.6368571696521,556131.4170752245
2,no trend,False,0.7616978898670956,0.3032519125876014,0.03232323232323232,32.0,10450.0,1102.1835932071854,429653.1240119023
3,no trend,False,0.3908016455141383,0.8581644818882433,0.09191583610188261,83.0,9130.333333333334,1962.4384787774522,227714.83246528028
4,no trend,False,0.8325919676656739,-0.2113784545875709,-0.0380952380952381,-8.0,1096.6666666666667,-491.8531559349634,190852.7056634822
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,increasing,True,0.00024160693857555593,3.6709961938362756,0.4167852062588905,293.0,6327.0,3805.5785126510523,60052.427030720035
9,increasing,True,0.00022608178163596726,3.6879345498556693,0.38181818181818183,378.0,10450.0,10859.346114107204,321387.3102653643
10,increasing,True,1.208304911681779e-07,5.29223499064169,0.5474747474747474,542.0,10450.0,17492.351248395396,375956.9242881617
11,increasing,True,0.005633287643966867,2.7683964923319744,0.2868686868686869,284.0,10450.0,8120.979313002163,454024.945691084
12,no trend,False,0.5638334925047208,0.5771568658925318,0.06060606060606061,60.0,10450.0,1039.0589844493331,475842.6423193703
