,trend,h,p,z,Tau,s,var_s,slope,intercept
1,no trend,False,0.7138014001237578,-0.3667555049554854,-0.03737373737373737,-37.0,9635.0,0.0,30.0
2,no trend,False,0.3350684116123246,0.9639551510994603,0.1,99.0,10335.666666666666,0.04,22.12
3,no trend,False,0.06683158737975314,1.8328049190455642,0.1898989898989899,188.0,10410.0,0.20294117647058824,11.535294117647059
4,no trend,False,0.48342290656821385,0.7008079010679995,0.05858585858585859,58.0,6615.333333333333,0.0,0.0
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,increasing,True,0.042489333062836865,2.028695318182624,0.20909090909090908,207.0,10311.0,0.1111111111111111,4.555555555555555
11,no trend,False,0.7018263955925286,0.38285619079920835,0.04040404040404041,40.0,10376.666666666666,0.0,17.0
12,no trend,False,0.952894013752698,0.0590729374775585,0.007070707070707071,7.0,10316.333333333334,0.0,26.0
