,trend,h,p,z,Tau,s,var_s,slope,intercept
1,no trend,False,0.3839581447948015,0.8706264587192428,0.09090909090909091,90.0,10450.0,5020.834039226556,901445.2346468039
2,no trend,False,0.9298441864424545,0.08804087784801333,0.010101010101010102,10.0,10450.0,646.8355754863036,792021.1327946385
3,no trend,False,0.5029936375635133,0.6697869126932632,0.07198228128460686,65.0,9130.333333333334,2228.9430079392114,327590.37392454303
4,no trend,False,1.0,0.0,0.0,0.0,268.6666666666667,-1.3732058868984183,129514.29921193905
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,no trend,False,0.7540675143570155,-0.31328056503783747,-0.0380952380952381,-24.0,5390.0,-616.0086927805125,280187.4534692417
11,no trend,False,0.2689853799452133,-1.1054021329806116,-0.11515151515151516,-114.0,10450.0,-2848.6218045997184,523915.47642495594
12,no trend,False,0.08691400050346454,1.7119059581558147,0.17777777777777778,176.0,10450.0,6538.6483867862935,543668.7108459623
